 21 6886.946564 1.673E-28 2.588e-02.06740.074 2930.26560.73-.008880       1 1 1 32       1 1 1 02                    R 50f     3677742029 5 4 5 7   103.0  101.0
 21 6887.059665 1.370E-27 2.560e-02.06870.086 2424.57180.76-.008588       1 1 1 32       1 1 1 02                    R 35e     4677642029 5 4 5 7    73.0   71.0
 21 6887.133534 1.999E-28 2.579e-02.06750.074 2888.89970.74-.008855       1 1 1 32       1 1 1 02                    R 49e     4677742029 5 4 5 7   101.0   99.0
 21 6887.154012 8.325E-26 3.331e-02.08020.107 1396.22810.70-.006837       0 2 2 31       0 2 2 01                    P 12e     4677742030 5 4 5 7    23.0   25.0
 21 6887.172689 1.223E-27 2.565e-02.06860.085 2453.92460.76-.008599       1 1 1 32       1 1 1 02                    R 36f     3677642029 5 4 5 7    75.0   73.0
 21 6887.195597 2.339E-28 2.584e-02.06760.075 2852.86230.74-.008830       1 1 1 32       1 1 1 02                    R 48f     3677642029 5 4 5 7    99.0   97.0
 21 6887.284970 1.097E-27 2.564e-02.06850.084 2481.56250.76-.008617       1 1 1 32       1 1 1 02                    R 37e     4677642029 5 4 5 7    77.0   75.0
 21 6887.337797 2.770E-28 2.576e-02.06770.076 2813.23120.74-.008801       1 1 1 32       1 1 1 02                    R 47e     4677642029 5 4 5 7    97.0   95.0
 21 6887.356953 9.701E-28 2.570e-02.06840.083 2512.61230.76-.008635       1 1 1 32       1 1 1 02                    R 38f     3677642029 5 4 5 7    79.0   77.0
 21 6887.372333 3.218E-28 2.582e-02.06780.076 2778.57500.75-.008776       1 1 1 32       1 1 1 02                    R 46f     3677642029 5 4 5 7    95.0   93.0
 21 6887.438714 8.623E-28 2.566e-02.06840.082 2541.66890.76-.008648       1 1 1 32       1 1 1 02                    R 39e     4677642029 5 4 5 7    81.0   79.0
 21 6887.469082 7.557E-28 2.573e-02.06830.081 2574.42240.76-.008661       1 1 1 32       1 1 1 02                    R 40f     3677642029 5 4 5 7    83.0   81.0
 21 6887.470436 3.776E-28 2.574e-02.06790.077 2740.67260.75-.008744       1 1 1 32       1 1 1 02                    R 45e     4677642029 5 4 5 7    93.0   91.0
 21 6887.476805 4.351E-28 2.579e-02.06800.078 2707.40480.75-.008729       1 1 1 32       1 1 1 02                    R 44f     3677642029 5 4 5 7    91.0   89.0
 21 6887.509043 5.784E-28 2.576e-02.06820.079 2639.35350.76-.008693       1 1 1 32       1 1 1 02                    R 42f     3677642029 5 4 5 7    87.0   85.0
 21 6887.520883 6.663E-28 2.569e-02.06820.080 2604.89040.76-.008673       1 1 1 32       1 1 1 02                    R 41e     4677642029 5 4 5 7    85.0   83.0
